"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28145","0","10","70","0","2000","A","","Union County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",427,8884,207707462,0,0,450,23380,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,1.9,-70,-0.8,2250405,1.1,0,0.0,0,0.0,9,2.0,434,1.9
"28145","1","10","71","0","2000","A","","Union County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,71,2336866,0,0,631,32798,"",3.69,0.36,0.39,0.00,0.00,1.07,1.07,"",0,0.0,7,10.9,145788,6.7,0,0.0,0,0.0,-31,-4.7,-1617,-4.7
"28145","1","102","72","0","2000","A","","Union County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,71,2336866,0,0,631,32798,"",3.69,0.37,0.40,0.00,0.00,1.07,1.07,"",0,0.0,7,10.9,145788,6.7,0,0.0,0,0.0,-31,-4.7,-1617,-4.7
"28145","1","1021","73","0","2000","A","","Union County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,44,1506877,0,0,657,34182,"",3.85,0.66,0.81,0.00,0.00,1.23,1.23,"",0,0.0,1,2.3,87163,6.1,0,0.0,0,0.0,27,4.3,1419,4.3
"28145","1","1028","73","0","2000","A","","Union County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,27,829989,0,0,588,30552,"",4.20,0.27,0.26,0.00,0.00,0.93,0.94,"",0,0.0,7,35.0,58625,7.6,0,0.0,0,0.0,-142,-19.5,-7384,-19.5
"28145","1","48-49","74","0","2000","A","","Union County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,44,1506877,0,0,657,34182,"",3.98,0.71,0.85,0.00,0.00,1.20,1.20,"",0,0.0,1,2.3,87163,6.1,0,0.0,0,0.0,27,4.3,1419,4.3
"28145","1","491","75","0","2000","A","","Union County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,44,1506877,0,0,657,34182,"",4.05,0.73,0.90,0.00,0.00,1.23,1.23,"",0,0.0,1,2.3,87163,6.1,0,0.0,0,0.0,27,4.3,1419,4.3
"28145","1","4911","76","0","2000","A","","Union County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,44,1506877,0,0,657,34182,"",4.05,0.73,0.90,0.00,0.00,1.23,1.23,"",0,0.0,1,2.3,87163,6.1,0,0.0,0,0.0,27,4.3,1419,4.3
"28145","1","49111","77","0","2000","A","","Union County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,44,1506877,0,0,657,34182,"",4.05,0.73,0.90,0.00,0.00,1.23,1.23,"",0,0.0,1,2.3,87163,6.1,0,0.0,0,0.0,27,4.3,1419,4.3
"28145","1","491110","78","0","2000","A","","Union County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,44,1506877,0,0,657,34182,"",4.05,0.73,0.90,0.00,0.00,1.23,1.23,"",0,0.0,1,2.3,87163,6.1,0,0.0,0,0.0,27,4.3,1419,4.3
"28145","1","92","74","0","2000","A","","Union County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,27,829989,0,0,588,30552,"",4.20,0.27,0.26,0.00,0.00,0.93,0.94,"",0,0.0,7,35.0,58625,7.6,0,0.0,0,0.0,-142,-19.5,-7384,-19.5
"28145","1","924","75","0","2000","A","","Union County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,502802,0,0,663,34478,"",6.15,1.96,2.14,0.00,0.00,1.12,1.12,"",0,0.0,2,15.4,27802,5.9,0,0.0,0,0.0,-26,-3.8,-1371,-3.8
"28145","1","9241","76","0","2000","A","","Union County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,502802,0,0,663,34478,"",6.15,1.96,2.14,0.00,0.00,1.12,1.12,"",0,0.0,2,15.4,27802,5.9,0,0.0,0,0.0,-26,-3.8,-1371,-3.8
"28145","1","92412","77","0","2000","A","","Union County, Mississippi","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,15,502802,0,0,663,34478,"",6.27,2.32,2.74,0.00,0.00,1.21,1.21,"",0,0.0,2,15.4,27802,5.9,0,0.0,0,0.0,-26,-3.8,-1371,-3.8
"28145","1","924120","78","0","2000","A","","Union County, Mississippi","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,15,502802,0,0,663,34478,"",6.27,2.32,2.74,0.00,0.00,1.21,1.21,"",0,0.0,2,15.4,27802,5.9,0,0.0,0,0.0,-26,-3.8,-1371,-3.8
"28145","1","926","75","0","2000","A","","Union County, Mississippi","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,327187,0,0,500,26002,"",6.97,0.68,0.61,0.00,0.00,0.93,0.93,"",0,0.0,6,85.7,30823,10.4,0,0.0,0,0.0,-305,-37.9,-15838,-37.9
"28145","1","9261","76","0","2000","A","","Union County, Mississippi","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,13,327187,0,0,500,26002,"",6.97,0.68,0.61,0.00,0.00,0.93,0.93,"",0,0.0,6,85.7,30823,10.4,0,0.0,0,0.0,-305,-37.9,-15838,-37.9
